题目,难度,是否前十
v306,2000,False
v339,2000,True
v355,2000,False
v418,2000,False
v495,2000,True
v282,2100,True
v286,2100,True
v32,2200,True
v131,2200,True
v462,2200,False
v280,2300,False
v59,2400,False
v292,2400,True
v433,2400,True
v86,2500,True
